./binary data/sponge.txt sponge 
******* Running ICM for up to 500 x 5 iterations
writing runtimes to sponge-ICM.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 35759864 (Ed=35110330, Es=649534), 0.089 secs
Energy = 35207567 (Ed=34610065, Es=597502), 0.177 secs
Energy = 34917154 (Ed=34338243, Es=578911), 0.268 secs
Energy = 34822365 (Ed=34252857, Es=569508), 0.359 secs
Energy = 34808219 (Ed=34241252, Es=566967), 0.451 secs
Energy = 34808219 (Ed=34241252, Es=566967), 0.541 secs
******* Running Expansion for up to 500 x 1 iterations
writing runtimes to sponge-Expansion.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 31727165 (Ed=31471232, Es=255933), 0.155 secs
Energy = 31727165 (Ed=31471232, Es=255933), 0.286 secs
******* Running Swap for up to 500 x 1 iterations
writing runtimes to sponge-Swap.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 31727165 (Ed=31471152, Es=256013), 0.168 secs
Energy = 31727165 (Ed=31471152, Es=256013), 0.331 secs
******* Running TRW-S for up to 500 x 1 iterations
writing runtimes to sponge-TRW-S.csv
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.609 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.627 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.643 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.660 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.677 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.693 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.711 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.728 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.745 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.761 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.777 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.794 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.811 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.827 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.845 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.864 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.880 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.897 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.914 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.931 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.947 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.964 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.980 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.998 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.014 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.031 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.048 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.065 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.081 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.098 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.115 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.132 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.149 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.166 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.182 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.199 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.216 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.234 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.251 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.267 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.285 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.302 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.319 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.336 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.353 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.370 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.387 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.403 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.420 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.436 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.453 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.470 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.487 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.505 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.522 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.540 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.557 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.575 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.593 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.612 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.630 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.647 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.665 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.682 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.700 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.718 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.736 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.754 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.770 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.788 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.806 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.824 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.842 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.859 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.877 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.895 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.913 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.931 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.947 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.965 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.982 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 3.999 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.016 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.033 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.050 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.067 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.085 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.103 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.120 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.137 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.154 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.172 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.189 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.207 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.224 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.242 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.258 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.275 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.291 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.309 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 4.325 secs
