./binary data/person.txt person 
******* Running ICM for up to 500 x 5 iterations
writing runtimes to person-ICM.csv
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.167 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.182 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.196 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.211 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.226 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.240 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.253 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.263 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.278 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.292 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.305 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.317 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.332 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.345 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.361 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.375 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.388 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.399 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.410 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.422 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.436 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.451 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.464 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.476 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.491 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.505 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.519 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.533 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.548 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.561 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.575 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.586 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.600 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.615 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.628 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.644 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.659 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.673 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.686 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.699 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.711 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.726 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.742 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.757 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.773 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.784 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.797 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.812 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.826 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.841 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.856 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.871 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.887 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.902 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.916 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.926 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.941 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.953 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.968 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.979 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.991 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.006 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.021 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.032 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.047 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.060 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.075 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.090 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.103 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.116 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.131 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.146 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 4.161 secs
